story_id,plan_loc,diff_loc,weight_ratio,retro_loop_metrics
2.2,252,853,0.2954279015240328,true
2.3,329,862,0.38167053364269143,true
2.4,321,1766,0.18176670441676104,true
2.5,608,157,3.872611464968153,true
3.1,390,848,0.45990566037735847,true
3.2,193,1221,0.15806715806715807,true
3.3,237,1677,0.1413237924865832,true
3.4,279,1767,0.15789473684210525,true
3.5,313,2367,0.13223489649345163,true
A,208,411,0.5060827250608273,false
B,298,718,0.415041782729805,false
C,404,1609,0.25108763206960844,false
D,313,1400,0.22357142857142856,false
ddd-1,163,520,0.31346153846153846,false
h1,363,795,0.45660377358490567,false
h2,214,49,4.36734693877551,false
h3,383,80,4.7875,true
h4,265,1518,0.17457180500658762,true
h5,295,59,5,true
h6,361,2128,0.16964285714285715,true
h7,234,285,0.8210526315789474,true
h8,162,n/a,n/a,false
maint-01,276,59,4.677966101694915,true
maint-02,109,20,5.45,true
maint-03,173,173,1,true
maint-04,197,283,0.696113074204947,true
maint-05,217,1011,0.21463897131552917,true
maint-06,219,387,0.5658914728682171,true
maint-07,164,21,7.809523809523809,true
maint-08,178,118,1.5084745762711864,true
maint-09,172,157,1.0955414012738853,false
maint-10,275,1204,0.22840531561461794,false
maint-11,291,712,0.40870786516853935,false
maint-12,269,193,1.3937823834196892,false
maint-13,182,150,1.2133333333333334,false
maint-14,158,167,0.9461077844311377,false
maint-15,117,18,6.5,false
maint-16,218,71,3.0704225352112675,false
maint-17,165,n/a,n/a,false
maint-18,104,4,26,false
maint-19,128,171,0.7485380116959064,false
4.0,n/a,201,n/a,true
4.3a,203,1651,0.12295578437310721,true
